"SurfaceId","LegacyDesigner","LegacyResx","SurfaceKind","LegacyCapability","LegacyEntryEvidence","AvaloniaTarget","ImplementationStatus","BehaviorEvidence","HeadlessEvidence","SafetyDisposition","RemainingGap"
"UI-033","src/master/MainUI/Procedure/Mask/LayerForm.Designer.cs","src/master/MainUI/Procedure/Mask/LayerForm.resx","Infrastructure","模态遮罩","VarHelper.cs:42","MainWindow","ReplacedInfrastructure","AVM-NAV","AH-NAV","使用 Avalonia 窗口/页面生命周期","独立二级窗口焦点 QA 待后续"
"UI-034","src/master/MainUI/Procedure/TestFrm/FrmDetermination.designer.cs","src/master/MainUI/Procedure/TestFrm/FrmDetermination.resx","Dialog","阀升程人工调整","EP_DetermineTest.cs","TestOperationView","FoldedIntoWorkflow","AVM-TEST-ITEMS","AH-MANUAL-DIALOG-GATE","仅提示合同；不发设备命令","完整 EP 流程、确认、取消和结果未闭合"
"UI-035","src/master/MainUI/Procedure/TestFrm/FrmVoltageSide.designer.cs","src/master/MainUI/Procedure/TestFrm/FrmVoltageSide.resx","Dialog","高低压侧人工调压","B11_VoltageSideTest.cs;B11_ProfilePressureTest.cs","TestOperationView","FoldedIntoWorkflow","AVM-TEST-ITEMS","AH-MANUAL-DIALOG-GATE","仅提示合同；不发设备命令","完整 B11 时序、人工确认和现场值未闭合"
"UI-036","src/master/MainUI/Procedure/ucBaseManagerUI.designer.cs","src/master/MainUI/Procedure/ucBaseManagerUI.resx","UserControl","参数管理基类布局","Procedure/ucBaseManagerUI.cs","ManagementView","ReplacedInfrastructure","AVM-MGMT","AH-MGMT","任务分组而非控件继承翻译","真实持久化边界未接入"
"UI-037","src/master/MainUI/Procedure/UCCalibration.designer.cs","src/master/MainUI/Procedure/UCCalibration.resx","UserControl","校准通道编辑与提交","Procedure/UCCalibration.cs","CalibrationView","ImplementedSafetyLocked","AVM-CAL","AH-CAL","提交命令固定禁用","管理员确认、差异、回读与审计未闭合"
"UI-038","src/master/MainUI/Procedure/ucItemConfiguration.Designer.cs","src/master/MainUI/Procedure/ucItemConfiguration.resx","UserControl","车型/型号的已配置与可用项点有序双列表","frmMainMenu.cs:271-273","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","箭头增减只改当前会话并保留顺序","数据库关联事务未接入"
"UI-039","src/master/MainUI/Procedure/ucItemManagerial.Designer.cs","src/master/MainUI/Procedure/ucItemManagerial.resx","UserControl","项点管理","frmMainMenu.cs:271-273","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","不执行动态源码操作","受控项点装载策略未定"
"UI-040","src/master/MainUI/Procedure/ucKindManage.Designer.cs","src/master/MainUI/Procedure/ucKindManage.resx","UserControl","车型管理","frmMainMenu.cs:269","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","只改当前会话","SQLite 未接入"
"UI-041","src/master/MainUI/Procedure/ucModelManage.Designer.cs","src/master/MainUI/Procedure/ucModelManage.resx","UserControl","车型归属、型号管理和单向发布","frmMainMenu.cs:270","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","发布只标记会话状态，不触发外部刷新","型号数据库事务与真实参数刷新未接入"
"UI-042","src/master/MainUI/Procedure/ucTestParams.Designer.cs","src/master/MainUI/Procedure/ucTestParams.resx","UserControl","车型/型号、报表模板文件名和报表保存目录；Legacy 参数界面页签为空","frmMainMenu.cs:273","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","不虚构参数界面编辑；不访问旧 INI/Office","持久化、存储选择器和模板验证未接入"
"UI-043","src/master/MainUI/Procedure/User/frmUserEdit.designer.cs","src/master/MainUI/Procedure/User/frmUserEdit.resx","Dialog","用户编辑","Procedure/User/ucUserManager.cs","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","不收集或保存明文密码","认证与密码哈希未接入"
"UI-044","src/master/MainUI/Procedure/User/ucPermission.designer.cs","src/master/MainUI/Procedure/User/ucPermission.resx","UserControl","权限管理","frmMainMenu.cs:267","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","不改变真实授权","权限数据库和执行时过滤未接入"
"UI-045","src/master/MainUI/Procedure/User/ucPermissionAllocation.Designer.cs","src/master/MainUI/Procedure/User/ucPermissionAllocation.resx","UserControl","角色选择与权限复选分配","frmMainMenu.cs:268","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","至少选择一项；不改变真实授权或伪造普通用户可见性","角色权限事务、认证过滤和审计未接入"
"UI-046","src/master/MainUI/Procedure/User/ucRole.designer.cs","src/master/MainUI/Procedure/User/ucRole.resx","UserControl","角色管理","frmMainMenu.cs:266","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","只改当前会话","角色数据库未接入"
"UI-047","src/master/MainUI/Procedure/User/ucUserManager.designer.cs","src/master/MainUI/Procedure/User/ucUserManager.resx","UserControl","用户名与角色管理","frmMainMenu.cs:265","ManagementView","ImplementedSessionOnly","AVM-MGMT","AH-MGMT","不保存真实账号、明文密码或复制 Legacy 默认密码 1","用户数据库、认证和角色过滤未接入"
"UI-048","src/master/MainUI/Properties/Resources.Designer.cs","src/master/MainUI/Properties/Resources.resx","GeneratedResource","WinForms 图片和图标资源","Properties/Resources.resx","legacy-ui-coverage","GeneratedReference","EVIDENCE-UI-MATRIX","EVIDENCE-UI-MATRIX","不复制未验权资源到发布包","资源授权与 UOS 渲染逐项确认"
"UI-049","src/master/MainUI/Properties/Settings.Designer.cs","","GeneratedSettings","WinForms 用户设置","Properties/Settings.settings","legacy-ui-coverage","GeneratedReference","EVIDENCE-UI-MATRIX","EVIDENCE-UI-MATRIX","不把 Windows Settings 机械带入 UOS","当前旧设置仅含基础模板项"
"UI-050","src/master/MainUI/UcHMI_FLE.Designer.cs","src/master/MainUI/UcHMI_FLE.resx","UserControl","工艺气路、电气量和手动控制","frmMainMenu.cs:95-105","ProcessOverviewView+InstrumentView","ImplementedSafetyLocked","AVM-PROCESS","AH-WRITE-GATE+INSTR","只读状态；所有执行元件禁用","完整 102/124 点、图片状态和现场触控未闭合"
"UI-051","src/master/MainUI/ucHMI.Designer.cs","src/master/MainUI/ucHMI.resx","UserControl","产品信息、项点、自动试验、报表和手动/自动页","frmMainMenu.cs:95-105","OverviewView+TestOperationView+ReportsView","ImplementedExternalBlocked","AVM-PRODUCT+TEST-ITEMS+REPORT","AH-OVERVIEW+TEST","自动/手动设备动作固定禁用","完整试验编排、记录、报表和现场写安全未闭合"
